MAKE,MODEL,YEAR,LAST_SCRAPE_DATE
AUDI,R8,2010,2021-5-10
AUDI,RS6,2014,2023-8-10
BMW,X5,2015,2022-02-15
BMW,M3,2018,2024-01-20
BMW,M5,2016,2022-09-25
MERCEDES,E-CLASS,2017,2023-06-05
MERCEDES,GLC,2019,2022-11-30
BMW,M3,0000,2024-05-01
AUDI,R8,0000,2024-03-21
BMW,M5,0000,2024-05-02
PORSCHE,944,0000,2024-03-19
NISSAN,ALTIMA,0000,2024-03-28
BMW,M6,0000,2024-05-02
NISSAN,ALTIMA,0000,2024-03-28
BMW,Z4,0000,2024-05-04
PORSCHE,911,0000,2024-03-28
NISSAN,350Z,0000,2024-03-22
PORSCHE,BOXSTER,0000,2024-05-02
INFINITI,G37,0000,2024-03-27
AUDI,SQ5,0000,2024-05-03
PORSCHE,911,0000,2024-03-21
BMW,Z4,0000,2024-05-04
NISSAN,350Z,0000,2024-03-28
PORSCHE,PANAMERA,0000,2024-05-03
PORSCHE,911,0000,2024-05-03
NISSAN,370Z,0000,2024-03-23
NISSAN,370Z,0000,2024-03-28
BMW,M5,0000,2024-05-03
NISSAN,350Z,0000,2024-05-03
NISSAN,350Z,0000,2024-03-23
BMW,M3,0000,2024-04-03
NISSAN,350Z,0000,2024-03-28
BMW,M5,0000,2024-05-03
BMW,M3,0000,2024-04-03
NISSAN,350Z,0000,2024-03-30
NISSAN,370Z,0000,2024-03-28
PORSCHE,911,0000,2024-03-28
BMW,M5,0000,2024-04-02
PORSCHE,PANAMERA,0000,2024-05-01
ACURA,INTEGRA,0000,2024-03-21
PORSCHE,911,0000,2024-03-21
INFINITI,G37,0000,2024-03-27
PORSCHE,PANAMERA,0000,2024-05-03
NISSAN,370Z,0000,2024-03-27
PORSCHE,911,0000,2024-05-03
PORSCHE,BOXSTER,0000,2024-05-02
PORSCHE,BOXSTER,0000,2024-05-03
NISSAN,350Z,0000,2024-05-03
BMW,M3,0000,2024-05-02
BMW,M5,0000,2024-04-02
BMW,M4,0000,2024-04-09
BMW,M6,0000,2024-04-10
BMW,M5,0000,2024-05-02
NISSAN,350Z,0000,2024-03-22
PORSCHE,BOXSTER,0000,2024-05-03
BMW,M5,0000,2024-04-09
AUDI,Q5,0000,2024-04-02
BMW,X5,0000,2024-05-02
BMW,M6,0000,2024-04-29
BMW,M6,0000,2024-04-10
NISSAN,370Z,0000,2024-03-23
NISSAN,370Z,0000,2024-03-27
NISSAN,350Z,0000,2024-03-30
BMW,M5,0000,2024-05-01
ACURA,INTEGRA,0000,2024-03-21
BMW,M3,0000,2024-05-02
AUDI,Q5,0000,2024-04-02
BMW,M6,0000,2024-05-02
PORSCHE,911,0000,2024-03-20
